[0.00-3.36] 给大家分享一个使用小龙虾
[3.36-5.52] 全自动创作内容
[5.52-9.68] 甚至直接发布的一个流程
[10.24-12.32] 我们先把这个任务发过去
[12.32-16.32] 然后让小龙虾干活的过程中
[16.80-20.64] 来讲一讲这个产品这个流程是怎么实现的
[20.64-22.56] 我给他发了一个信息
[22.56-23.68] 刷一波资讯
[23.68-26.08] 看看有啥值得推送和作为笔记的内容
[26.72-28.48] 然后他会直接开始干活
[28.48-29.76] 他会怎么干活呢
[30.16-31.84] 我这边开发了一个
[33.04-36.16] 基于我关注的一系列信源
[36.16-39.68] 因为我主要关注大模型相关的一个平台
[39.68-44.24] 这个平台我手动是可以自动的拉取这里边的
[44.24-46.00] 各种各样的行业的新闻
[46.00-47.52] 都是AI相关的
[47.52-50.32] 然后我可以去查看原文
[50.32-52.40] 然后也可以直接去推送
[52.40-53.36] 推送完了之后
[53.36-55.76] 一方面是会推送的我的社群里边
[55.76-59.04] 然后同步他也会帮我保存到我的一个废书文档里边
[59.60-63.04] 然后我还可以把它创作成一个笔记
[63.04-65.04] 一个笔记的图文笔记
[65.04-67.52] 大概创作完的内容是长这个样子的
[67.52-69.52] 就是会是一个封面
[69.52-72.32] 在这里边会有一些详情的图
[72.32-75.04] 这些图是一些项目的接图
[75.04-77.68] 一些内容还有会有一个标题证文
[77.68-78.80] 一对的
[79.52-82.00] 这是我的人工去做事情的流程
[82.00-86.00] 然后我把这个产品的应用的全部的流程
[86.08-89.28] 从资讯拉取到筛选
[89.28-92.72] 值得推送和创作为笔记的内容
[92.72-94.64] 然后到把它创作
[94.64-99.20] 把它直接发布到我的小红书上
[99.20-102.64] 这个全部的流程我都开通了接口
[102.64-105.60] 然后把它塞给我的Open Glow
[105.60-110.00] 我的Open Glow自己就会在这把这个流程全部走一遍
[110.00-114.24] 这个技能我已经把它开源到了社区
[114.32-116.32] 然后大家可以自己去搜索一下
[116.32-119.68] 然后里边会包含所有要安装的应用
[119.68-123.12] 就是你把我这个项目把它安装好了之后
[123.12-126.08] 你最后产出的这个你的应用界面
[126.08-128.00] 也会是长长的样子
[128.00-131.68] 你可以在这去配置自己关注的信源
[131.68-136.16] 然后可以在查看已经保存的信息列表
[136.16-139.76] 还可以在系统配置里边去配置去做翻译
[139.76-141.28] 去做筛选
[141.36-145.04] 然后去创作内容的提示词和大毛型
[145.04-150.56] 然后还可以去配置你的保存到非输的位置
[150.56-154.16] 可以去保存到非输的知识库
[154.16-156.80] 然后也可以创作为这个多余表格
[156.80-160.40] 然后同步也可以使用非输推送给自己的机器人
[160.40-163.52] 然后也可以去做这个渠道的推送
[163.52-166.96] 包括这个平台的笔记的发布
